Timestamp,gender,age,genre_with_examples,other genres
2022/12/09 6:47:22 am CET,1,19,|Amapiano|Ameno by Goya Menor,
2022/12/09 6:49:11 am CET,1,18,|Pop|Heat waves by Glass Animals,
2022/12/09 6:53:21 am CET,1,19,|Afrobeat|Finesse by Pheelz,
2022/12/09 7:07:39 am CET,1,19,|Pop|Heat waves by Glass Animals,
2022/12/09 7:09:03 am CET,0,20,|Afrobeat|Finesse by Pheelz,Gospel
2022/12/09 7:21:32 am CET,0,20,|Highlife|I get my day by Elizabeth Tekeh,
2022/12/09 7:24:02 am CET,0,19,|Spirituals|Silent Night,
2022/12/09 8:08:26 am CET,0,18,|Music of USA|Stay by Rihanna,
2022/12/09 8:34:36 am CET,0,19,|Music of USA|Stay by Rihanna,South African beats
2022/12/09 8:34:49 am CET,1,23,|Ndombolo|Misu na misu by Robinio Mundibu,
2022/12/09 8:35:11 am CET,-1,15,|Azonto|Buga by Kizz Daniel,
2022/12/09 8:35:18 am CET,0,19,|Music of USA|Stay by Rihanna,
2022/12/09 8:36:45 am CET,0,32,|Bikutsi|Pala Pala by Mani Bella,
2022/12/09 8:43:27 am CET,0,19,|Rap|Rap God by Eninem,Gospel music
2022/12/09 8:50:21 am CET,1,18,|Spirituals|Silent Night,
2022/12/09 9:30:35 am CET,1,19,|Spirituals|Silent Night,K-pop too
2022/12/09 9:39:09 am CET,1,20,|Afrobeat|Finesse by Pheelz,
2022/12/09 10:06:16 am CET,1,19,|Spirituals|Silent Night,
2022/12/09 10:53:20 am CET,0,21,|Rap|Rap God by Eninem,
2022/12/09 11:12:48 am CET,1,18,|Azonto|Buga by Kizz Daniel,
2022/12/09 11:34:26 am CET,0,17,|Rap|Rap God by Eninem,
2022/12/09 12:01:54 pm CET,0,17,|Reggae|No woman no cry by Bob Marley,
2022/12/09 12:05:26 pm CET,0,23,|Highlife|I get my day by Elizabeth Tekeh,gosple rock
2022/12/09 5:28:31 pm CET,0,21,|Rap|Rap God by Eninem,UK Drill
2022/12/09 5:28:52 pm CET,0,19,|Afrobeat|Finesse by Pheelz,Afro pop
2022/12/09 5:46:32 pm CET,0,19,|Afrobeat|Finesse by Pheelz,
2022/12/10 6:27:07 am CET,0,29,|Reggae|No woman no cry by Bob Marley,Metal
2022/12/10 6:30:14 am CET,0,19,|Reggae|No woman no cry by Bob Marley,
2022/12/10 6:48:38 am CET,0,11,|Rap|Rap God by Eninem,
2022/12/10 6:55:46 am CET,1,19,|Afrobeat|Finesse by Pheelz,
2022/12/10 7:17:15 am CET,0,20,|Azonto|Buga by Kizz Daniel,French rap. Gospel 
2022/12/10 8:23:51 am CET,1,19,|Spirituals|Silent Night,
2022/12/10 12:46:13 pm CET,0,22,|Music of USA|Stay by Rihanna,
2022/12/10 12:58:54 pm CET,1,20,|Afrobeat|Finesse by Pheelz,
2022/12/10 7:16:44 pm CET,1,19,|Rap|Rap God by Eninem,
2022/12/10 7:18:48 pm CET,1,21,|Spirituals|Silent Night,Gospel music 
2022/12/11 8:46:43 am CET,1,23,|Azonto|Buga by Kizz Daniel,
2022/12/11 8:46:56 am CET,0,23,|Ndombolo|Misu na misu by Robinio Mundibu,
2022/12/11 8:57:23 am CET,0,19,|Rap|Rap God by Eninem,
2022/12/11 8:57:36 am CET,0,29,|Pop|Heat waves by Glass Animals,
2022/12/11 9:09:41 am CET,0,20,|Afrobeat|Finesse by Pheelz,
2022/12/11 9:26:28 am CET,1,20,|Afrobeat|Finesse by Pheelz,
2022/12/11 11:09:38 am CET,0,20,|Afrobeat|Finesse by Pheelz,
2022/12/11 11:35:38 am CET,0,23,|Rap|Rap God by Eninem,
2022/12/11 12:37:31 pm CET,0,17,|Rap|Rap God by Eninem,
2022/12/11 1:52:22 pm CET,1,17,|Spirituals|Silent Night,
2022/12/11 3:28:25 pm CET,1,21,|Music of USA|Stay by Rihanna,
2022/12/11 3:42:57 pm CET,0,22,|Rap|Rap God by Eninem,
2022/12/11 5:15:02 pm CET,1,19,|Pop|Heat waves by Glass Animals,
2022/12/11 7:08:43 pm CET,1,16,|Amapiano|Ameno by Goya Menor,
2022/12/11 7:12:55 pm CET,1,18,|Afrobeat|Finesse by Pheelz,
2022/12/11 7:16:25 pm CET,0,18,|Pop|Heat waves by Glass Animals,Pop & Rap eg Lil Tjay - Leaked
2022/12/12 9:01:50 am CET,0,22,|Afrobeat|Finesse by Pheelz,
2022/12/13 10:34:46 am CET,0,20,|Spirituals|Silent Night,Soft rock eg Westlife
